City,Year,MIL1,MIL5,MIL10,Month1,Month5,Month10
SyntheticCity,1991,40.2935613916275,36.8690661114882,35.9027955492196,8,10,10
SyntheticCity,1992,38.7532852449612,36.7824824435717,36.032513743609,10,10,10
SyntheticCity,1993,38.5212895695536,37.244541991412,36.3017920927693,10,10,10
SyntheticCity,1994,39.1563587045266,37.1976250973984,36.193892826631,10,10,10
SyntheticCity,1995,38.7432876620598,37.2833089704055,36.2910232870264,10,10,10
SyntheticCity,1996,39.1690131690712,37.3665874236768,36.1353862623854,10,10,10
SyntheticCity,1997,39.111811784598,36.8300611396768,35.8191593636701,10,10,10
SyntheticCity,1998,40.5464052720661,38.164264545163,36.1077411715022,8,8,10
SyntheticCity,1999,38.8756876846718,36.9616384143023,35.8501789224699,10,10,10
SyntheticCity,2000,40.4355613830942,37.8915096161669,36.0948023659884,8,8,10
SyntheticCity,2001,38.9572822227469,37.2820899194479,36.2209244063067,10,10,10
SyntheticCity,2002,38.6461921113539,37.1622372410668,36.1423948294007,10,10,10
SyntheticCity,2003,38.9651057153306,37.1674475097327,35.9885854693152,10,10,10
SyntheticCity,2004,38.9766935711926,37.0247905113416,35.9370652551042,10,10,10
SyntheticCity,2005,39.9256543008389,37.1466465220387,35.7658474028863,8,10,10
SyntheticCity,2006,38.6341122031568,36.664083462327,35.7691289422264,10,10,10
SyntheticCity,2007,39.137800686767,37.2465161642951,36.1370231567438,10,10,10
SyntheticCity,2008,38.7890814919332,36.9898778447738,36.0742887973152,8,10,10
SyntheticCity,2009,43.8990488159254,37.9850877001564,36.1182748511529,8,8,10
SyntheticCity,2010,39.2100859950534,36.9185988579671,35.7232651485443,10,10,10
SyntheticCity,2011,38.5330275877977,36.8673180145835,35.8704381523392,10,10,10
SyntheticCity,2012,38.5415912468427,36.7344428225188,35.8736929800951,10,10,10
SyntheticCity,2013,40.7596365898869,37.7297228161257,36.142299927194,8,8,10
SyntheticCity,2014,38.8990477216302,37.1085132517087,36.0167126506403,10,10,10
SyntheticCity,2015,39.2232652479795,37.0367147527355,35.8327944052771,10,10,10
SyntheticCity,2016,38.763559799903,36.7445344530036,35.8476171292627,10,10,10
SyntheticCity,2017,38.7397875136638,37.3250237589016,36.0668737206614,10,10,10
SyntheticCity,2018,38.4241230015244,36.9732746184395,35.9299858983789,10,10,10
SyntheticCity,2019,39.0464603876347,37.0422383468874,36.1677933274465,10,10,10
SyntheticCity,2020,38.4034761078827,37.1237757353971,36.0390479020596,10,10,10
